ahh,rls,hls,pengeluaran,miskin,gini,tpt,Kabupaten,cluster,probability
-0.7703815409569312,-0.3979078728193904,-0.1687822062210444,-0.9112285822178392,0.010058946499915,0.3464127454535278,-2.0395239446497944,Banggai Kepulauan,-1,0.0
1.0906003742462642,-0.2747459121848158,0.0684252187382608,0.3074844033390552,-1.9720829322200264,1.661264042065463,1.2431384043579714,Banggai,-1,0.0
0.3109371279765941,0.3634569747397916,0.1079597895648126,1.074709224033821,-0.2549148810372992,0.3135414630382294,0.6749853054912427,Morowali,-1,0.0
1.2066216906554408,0.5426016447537146,0.4637709270037696,-0.1114640739654424,0.6673316875337846,-0.6068544445901264,-1.5765843826102377,Poso,-1,0.0
-0.338782243914791,-1.1816658041303107,-0.6530806988462925,-0.5339715795965561,1.0355420712543293,-0.4753693149289327,0.569771768664071,Donggala,0,1.0
-0.7935858042387652,-0.1627804934261132,-0.1094803499812177,-0.6351496705960646,0.0547947875126911,0.3792840278688262,1.2431384043579714,Tolitoli,-1,0.0
0.5801065820458832,0.1619192209741245,-0.0995967072745801,-0.5675281323903629,0.271591555497685,0.0176999213005436,1.2852238190888403,Buol,1,1.0
-1.8934678837977617,-1.1256830947509584,-0.7519171259126692,0.3451084170775659,0.6570080319154511,-0.5082405973442311,-0.8821750395509024,Parigi Moutong,-1,0.0
-0.9931424684625522,-0.5546594590815733,-0.8408699102724085,-0.6631134645909037,1.400311236435429,-0.7054682918360217,-0.1035948670298294,Tojo Una-una,0,1.0
0.8075083622078735,-0.0172254490398004,-0.1490149208077676,-0.4643163109185024,-0.0794127355256377,-0.6397257270054248,-0.1035948670298294,Sigi,1,1.0
-1.1277271954971937,-0.4538905821987407,-0.2379677051675087,-0.7073471023645581,0.5124768532587888,-1.4615077873878846,-0.1035948670298294,Banggai Laut,0,1.0
0.612592550640456,0.0835434278430341,-0.830986267565771,-0.0687557340460519,-0.1172661394595259,-0.6725970094207232,-0.1035948670298294,Morowali Utara,1,1.0
1.3087204490955158,3.017037399321052,3.201539956742415,2.9355726062358376,-2.1854384816655754,2.35156097278673,-0.1035948670298294,Kota Palu,-1,0.0
