ahh,rls,hls,pengeluaran,miskin,gini,tpt,Kabupaten
-0.7703815409569312,-0.39790787281939044,-0.16878220622104445,-0.9112285822178392,0.010058946499915053,0.34641274545352785,-2.0395239446497944,Banggai Kepulauan
1.0906003742462642,-0.2747459121848158,0.06842521873826084,0.3074844033390552,-1.9720829322200266,1.661264042065463,1.2431384043579714,Banggai
0.3109371279765941,0.36345697473979166,0.1079597895648126,1.074709224033821,-0.2549148810372992,0.31354146303822944,0.6749853054912427,Morowali
1.2066216906554408,0.5426016447537146,0.46377092700376965,-0.11146407396544249,0.6673316875337846,-0.6068544445901264,-1.5765843826102377,Poso
-0.338782243914791,-1.1816658041303107,-0.6530806988462925,-0.5339715795965561,1.0355420712543293,-0.4753693149289327,0.569771768664071,Donggala
-0.7935858042387652,-0.1627804934261132,-0.1094803499812177,-0.6351496705960646,0.054794787512691165,0.37928402786882626,1.2431384043579714,Tolitoli
0.5801065820458832,0.16191922097412456,-0.09959670727458018,-0.5675281323903629,0.27159155549768504,0.017699921300543618,1.2852238190888403,Buol
-1.8934678837977617,-1.1256830947509584,-0.7519171259126692,0.3451084170775659,0.6570080319154511,-0.5082405973442311,-0.8821750395509024,Parigi Moutong
-0.9931424684625522,-0.5546594590815733,-0.8408699102724085,-0.6631134645909037,1.400311236435429,-0.7054682918360217,-0.1035948670298294,Tojo Una-una
0.8075083622078735,-0.0172254490398004,-0.14901492080776768,-0.46431631091850245,-0.07941273552563778,-0.6397257270054248,-0.1035948670298294,Sigi
-1.1277271954971935,-0.45389058219874073,-0.2379677051675087,-0.7073471023645581,0.5124768532587888,-1.4615077873878846,-0.1035948670298294,Banggai Laut
0.612592550640456,0.08354342784303413,-0.830986267565771,-0.06875573404605195,-0.11726613945952596,-0.6725970094207232,-0.1035948670298294,Morowali Utara
1.3087204490955158,3.017037399321052,3.2015399567424154,2.9355726062358376,-2.1854384816655754,2.35156097278673,-0.1035948670298294,Kota Palu
